"Year","pink_raw","pink_lm","pink_exp","pink_gam"
1952,198.0298015,57.8617538277882,32.512983367556,9.20163073442902
1953,336.5290869,190.712300294714,167.871308707425,145.767954398694
1954,179.7949782,28.3294526616392,7.93663494635857,-12.9013715841767
1955,294.413004,137.298739528565,119.293359579197,99.7755416753467
1956,260.8135208,98.0505173954899,82.3706865361563,64.223940567111
1957,362.0339953,193.622252962415,180.204908075499,163.474935084695
1958,187.0299165,12.9694352293406,1.75031646848328,-13.5233828878953
1959,240.0020938,60.292873596266,51.2065016764251,37.421547909587
1960,125.0629748,-60.2949843368086,-67.3153312802586,-79.5867506633221
1961,182.1236784,-8.88301966988329,-13.9053296611928,-24.6466047354121
1962,162.859114,-33.7963230029579,-36.8898742535071,-46.0929251635975
1963,224.2375817,21.9334057639675,20.6980203721975,13.032523333176
1964,146.2015324,-61.7513824691072,-61.2005345027704,-67.3379996025516
1965,205.1036429,-8.49801090218179,-6.23422711861593,-10.8620284462876
1966,161.1151013,-58.1352914352564,-54.2332603194786,-57.3785108515281
1967,175.2447665,-49.6543651683311,-44.1901925450073,-45.8885626886473
1968,172.0482063,-58.4996643014057,-51.5509002312504,-51.8463537862569
1969,220.7792867,-15.4173228344803,-7.06298902106633,-6.00745102684996
1970,132.2029342,-109.642414267555,-99.9630319842109,-97.6159962797277
1971,202.78803,-44.7060574006296,-33.7836759473035,-30.2117595878836
1972,126.2276425,-126.915183833704,-114.833409533834,-110.109860561329
1973,158.6269034,-100.164661866779,-87.0086876144325,-81.2128520669858
1974,133.9360774,-130.504226799853,-116.360862167581,-109.577615644442
1975,228.2673373,-41.8217058329281,-26.779407750949,-19.098556317332
1976,199.0080226,-76.7297594660028,-60.8786634835907,-52.3943182116435
1977,279.1204321,-2.26608889907737,14.3019589608151,23.492029965354
1978,234.0968415,-52.938418432152,-35.7470076505209,-25.9519690112913
1979,319.9023766,27.2183777347734,44.9377864745289,55.2347276813892
1980,244.4852059,-53.8475318983013,-35.6972998746433,-25.0031319028072
1981,297.883815,-6.0976617313759,12.3843748490458,23.3701899917611
1982,223.2043036,-86.4259120644506,-67.7129687013207,-56.5412743922856
1983,431.0079915,115.729036902475,134.570074569264,145.822413354931
1984,308.7731516,-12.1545419305998,6.70982652105249,17.9388345218562
1985,326.2901376,-0.286294863674472,18.494652790042,29.5983428084905
1986,261.7616152,-70.4635561967491,-51.8748067146286,-40.9957044736121
1987,270.3310462,-67.5428641298237,-49.2571544266168,-38.6984641343296
1988,212.1579015,-131.364747762898,-113.495022851879,-103.348397816282
1989,364.3859048,15.214516604027,32.5531683879582,42.2009660248878
1990,303.0355966,-51.7845305290476,-35.0942242018605,-26.0264116646163
1991,486.0193237,125.550457637878,141.472920738926,149.885898892237
1992,277.2341688,-88.8834361951969,-73.8505817608752,-66.1602866796008
1993,398.5924679,26.8261239717285,40.845293594666,47.7527351271403
1994,453.748659,76.3335761386538,89.2126302519763,95.2853859384468
1995,434.867605,51.8037832055793,63.4138918758749,68.6091064779542
1996,424.2513281,35.5387673725046,45.7486559016546,50.0330651852505
1997,401.9695761,7.60827643942993,16.284178971088,19.634694427257
1998,443.5715796,43.5615410063553,50.5671532520217,52.9714128139856
1999,501.0739726,95.4151950732807,100.61162614129,102.068505588429
2000,381.8192568,-29.4882596597939,-26.2425363494187,-25.7224571801103
2001,401.8196412,-15.1366141928686,-13.9858109250447,-14.3798336091403
2002,382.8857158,-39.7192785259432,-40.8103442562884,-42.0832960700491
2003,466.3283391,38.0746058409822,34.5919335532196,32.4879887075375
2004,361.2705607,-72.6319114920925,-78.6587694186053,-81.5327939228843
2005,594.4661709,154.914959774833,146.1884416835,142.618357614193
2006,344.0283572,-101.171592858242,-112.756196031141,-116.935177923771
2007,548.7740497,97.9253607086836,83.3212411581764,78.6335943821699
2008,328.1716624,-128.325765524391,-146.113896178962,-151.19709121107
2009,657.1627969,195.016630042534,173.876871993297,168.523811925298
2010,407.2142707,-60.5806350905403,-85.242817626126,-90.7279529682613
2011,653.762543,180.318898276385,151.960253000629,146.492321448006
2012,435.5747755,-43.5176081566895,-75.7500570950714,-81.0408060099076
2013,577.8224288,93.0813062102358,56.7943473444456,51.8504819644198
2014,355.8470816,-134.542779922839,-175.06838418619,-179.487125818858
2015,549.4208599,53.3822594440866,8.43038003272352,4.72213635072694
