"Stock.ID","Stock","BY","Region","Ocean.Region","Sub.Region","Lat","Lon","R","S","ocean_0","ocean_1","ocean_2","ocean_3","ocean_4","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R2.5","R3.1","R3.2","R3.3","R3.4","R4.1","R4.2","R4.3","Ocean.Region2","early_sst","np_pinks_geo","np_pinks_hatch_geo","na_pinks_geo","np_pinks_lm_geo","np_pinks_exp_geo","all_spp_numbers_np_geo","all_spp_biomass_np_geo","all_spp_numbers_na_geo","np_pinks_sec","np_pinks_hatch_sec","na_pinks_sec","np_pinks_lm_sec","np_pinks_exp_sec","all_spp_numbers_np_sec","all_spp_biomass_np_sec","all_spp_numbers_na_sec","late_sst","late_mld_winter","late_mld_summer","early_sst_lm","RS","RS_stnd","lnRS","S_stnd","early_sst_stnd","late_sst_stnd","late_mld_winter_stnd","late_mld_summer_stnd","early_sst_lm_stnd","np_pinks_geo_stnd","np_pinks_hatch_geo_stnd","na_pinks_geo_stnd","np_pinks_lm_geo_stnd","np_pinks_exp_geo_stnd","all_spp_numbers_np_geo_stnd","all_spp_biomass_np_geo_stnd","all_spp_numbers_na_geo_stnd","np_pinks_sec_stnd","np_pinks_hatch_sec_stnd","na_pinks_sec_stnd","np_pinks_lm_sec_stnd","np_pinks_exp_sec_stnd","all_spp_numbers_np_sec_stnd","all_spp_biomass_np_sec_stnd","all_spp_numbers_na_sec_stnd"
119,"Portage",1974,"Fraser River","WC","Fraser Late",49.12,-123.06,42611,4843,0,1,0,0,0,0,0,0,0,0,0.038605055032738,0.955222829785736,0.0061721151815259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC",-0.737390905409291,225.059520050902,10.970660180168,116.443094065997,-50.8947278752327,-34.3669924529168,320.65203254699,632.989803742883,173.283585771881,225.059520050902,10.970660180168,116.443094065997,-50.8947278752327,-34.3669924529168,320.65203254699,632.989803742883,173.283585771881,0.184509351392084,-4.55091,-4.93227,-0.691896837213634,8.79847202147429,-0.525308059887807,2.17457807248467,0.36780850986408,-1.25718859150727,0.35251760999973,-0.763619845187504,-1.19893929748721,-1.23305837426624,-0.630297940525574,-0.880795503761422,-0.25480727900161,-0.480459484843338,-0.401347757656715,-0.770379329089619,-0.871345129861041,-0.426743019684763,-0.630297940525574,-0.880795503761422,-0.25480727900161,-0.480459484843338,-0.401347757656715,-0.770379329089619,-0.871345129861041,-0.426743019684763
119,"Portage",1975,"Fraser River","WC","Fraser Late",49.12,-123.06,15753,1631,0,0.99892084047483,0.00107915952516981,0,0,0,0,0,0,0,0.051418777375738,0.932584269662921,0.0149177934361709,0,0,0.00107915952516981,0,0,0,0,0,0,0,0,0,0,0,"WC",-0.226762040674373,303.108161818803,15.2990794489964,101.965308502634,25.7894690579082,42.5786453957226,417.247258236247,782.644514284606,171.07637911792,303.108161818803,15.2990794489964,101.965308502634,25.7894690579082,42.5786453957226,417.247258236247,782.644514284606,171.07637911792,-0.0479526775572566,5.77246300831588,-2.43879003427918,-0.195939265233524,9.6584917228694,-0.506697301390942,2.26783749968496,-0.515618842103317,-0.416443563025786,-0.292433446402121,0.369107218167691,-0.617823260743323,-0.307578270315687,0.0218227043556228,-0.703113583690555,-0.468378949285074,0.65087947825485,0.752566820414505,-0.179230315803201,-0.386178715229089,-0.451091000012361,0.0218227043556228,-0.703113583690555,-0.468378949285074,0.65087947825485,0.752566820414505,-0.179230315803201,-0.386178715229089,-0.451091000012361
119,"Portage",1976,"Fraser River","WC","Fraser Late",49.12,-123.06,7590,753,0,0.950592885375494,0.0494071146245059,0,0,0,0,0,0,0,0.0155467720685112,0.935046113306983,0,0,0,0,0.0494071146245059,0,0,0,0,0,0,0,0,0,0,"WC",0.407561761747343,243.322521330343,14.5223862332754,115.998193592042,-50.651193284784,-32.7667452756194,393.182754196522,797.117128326535,221.184677799934,243.322521330343,14.5223862332754,115.998193592042,-50.651193284784,-32.7667452756194,393.182754196522,797.117128326535,221.184677799934,0.328721605327293,0.795549071146245,-1.11924541501976,0.423020790789255,10.0796812749004,-0.497582792709879,2.31052164258978,-0.757103653755675,0.627963872911823,0.752625300455594,-0.176982233805078,-0.310297814382222,0.847430241203068,-0.47770489211313,-0.734996895658317,-0.26137030874926,-0.476866565023405,-0.377349665002871,-0.326501650559166,-0.339259869576602,0.101660083974294,-0.47770489211313,-0.734996895658317,-0.26137030874926,-0.476866565023405,-0.377349665002871,-0.326501650559166,-0.339259869576602,0.101660083974294
119,"Portage",1977,"Fraser River","WC","Fraser Late",49.12,-123.06,39989,3923,0,1,0,0,0,0,0,0,0,0,0.0192052814523994,0.951761734476981,0.0290329840706194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC",0.0114395833406236,292.16287249281,12.0305802860849,121.543003015647,-5.9805544216233,12.1465294444579,424.839759073938,887.67835239916,202.847782341071,292.16287249281,12.0305802860849,121.543003015647,-5.9805544216233,12.1465294444579,424.839759073938,887.67835239916,202.847782341071,0.0553698510775445,10.0619,-4.40381,0.0129672200653003,10.1934743818506,-0.495120318851869,2.32174774906709,0.114772032961837,-0.0242471068564157,-0.00577168794501175,0.839763597930738,-1.07577946263813,0.0822510349581414,-0.0696285877104596,-0.837285707726343,-0.179575050432996,0.182169276434835,0.296191862463083,-0.132765292852522,-0.0456689479881582,-0.100616566968449,-0.0696285877104596,-0.837285707726343,-0.179575050432996,0.182169276434835,0.296191862463083,-0.132765292852522,-0.0456689479881582,-0.100616566968449
119,"Portage",1978,"Fraser River","WC","Fraser Late",49.12,-123.06,111753,3963,0,0.945343749161096,0.0546562508389037,0,0,0,0,0,0,0,0.0117670219144005,0.890902257657513,0.0426744695891833,0,0,0.000143172890213238,0.054065662666774,0.000447415281916369,0,0,0,0,0,0,0,0,0,"WC",0.155831614184115,231.873915499414,16.1248681650171,109.591065118937,-74.3764741248491,-55.8794227477816,354.68861832671,735.293302878581,181.334722441748,231.873915499414,16.1248681650171,109.591065118937,-74.3764741248491,-55.8794227477816,354.68861832671,735.293302878581,181.334722441748,0.119190545328122,-10.1969908974256,-2.273467398996,0.141902760316126,28.1990915972748,-0.105480182655391,3.33928976456263,0.125773618914108,0.213492845715656,0.171294753242162,-1.38313331517981,-0.579294122382251,0.322850803841276,-0.573361549914526,-0.669214897929658,-0.35588622236968,-0.826890894654383,-0.723958728480246,-0.562080275427822,-0.539686863306633,-0.337929896137404,-0.573361549914526,-0.669214897929658,-0.35588622236968,-0.826890894654383,-0.723958728480246,-0.562080275427822,-0.539686863306633,-0.337929896137404
119,"Portage",1979,"Fraser River","WC","Fraser Late",49.12,-123.06,52692,2023,0,0.994249601457527,0.00575039854247324,0,0,0,0,0,0,0,0.00442192363167084,0.978497684658013,0.0113299931678433,0,0,0,0.00575039854247324,0,0,0,0,0,0,0,0,0,0,"WC",-0.0439891897824234,428.399208031747,14.2752868903532,138.257783874664,114.481910393998,133.239768592394,578.07008654974,1025.43457819562,228.10485539584,428.399208031747,14.2752868903532,138.257783874664,114.481910393998,133.239768592394,578.07008654974,1025.43457819562,228.10485539584,0.0992594486812955,-5.17700077032567,-2.18317223810066,-0.071856782206242,26.0464656450816,-0.152062838454279,3.25988208318197,-0.407803299771057,-0.115509995925999,0.115997198214715,-0.832317349297207,-0.558250453791362,-0.0760345339592686,1.06866831247264,-0.745140341330239,0.0669960602426679,1.95937873401811,2.11216555331135,0.804982471040842,0.400923704665194,0.177997452596434,1.06866831247264,-0.745140341330239,0.0669960602426679,1.95937873401811,2.11216555331135,0.804982471040842,0.400923704665194,0.177997452596434
119,"Portage",1980,"Fraser River","WC","Fraser Late",49.12,-123.06,12225,996,0,0.993946830265849,0.00605316973415133,0,0,0,0,0,0,0,0.0552147239263804,0.923680981595092,0.0150511247443763,0,0,0.00605316973415133,0,0,0,0,0,0,0,0,0,0,0,"WC",-0.538784103260438,289.855270982544,26.2313148002389,136.098378649325,-11.4098587481033,6.29872958328003,436.196954411288,866.140790374642,224.72053271964,289.855270982544,26.2313148002389,136.098378649325,-11.4098587481033,6.29872958328003,436.196954411288,866.140790374642,224.72053271964,0.0115302644815289,-4.11401969815951,0.466897362781186,-0.581311610097518,12.2740963855422,-0.450095822818637,2.50749105675847,-0.690269019095626,-0.930184591026535,-0.127401821757026,-0.715682270112623,0.0593594587529858,-1.0267011508485,-0.0889093150993984,-0.254344541868694,0.0351412037954522,0.102069545685619,0.208495383518692,-0.0632608761541864,-0.115491686674591,0.140664554113859,-0.0889093150993984,-0.254344541868694,0.0351412037954522,0.102069545685619,0.208495383518692,-0.0632608761541864,-0.115491686674591,0.140664554113859
119,"Portage",1981,"Fraser River","WC","Fraser Late",49.12,-123.06,20069,2951,0,0.830086202601027,0.169913797398974,0,0,0,0,0,0,0,0.00767352633414719,0.788728885345558,0.0336837909213214,0,0,0,0.169913797398974,0,0,0,0,0,0,0,0,0,0,"WC",0.744740877405004,312.822055355025,26.0789285891051,185.078477859261,-12.2081829366616,6.39599149946481,480.479136328641,972.990330140541,277.887197693034,312.822055355025,26.0789285891051,185.078477859261,-12.2081829366616,6.39599149946481,480.479136328641,972.990330140541,277.887197693034,0.451769484157887,-1.0572295400867,-0.389306158254024,0.685156437725232,6.80074550999661,-0.568538704008614,1.91703223999574,-0.152566505678359,1.183125722887,1.09401378354886,-0.380277462376073,-0.140182387835026,1.33658766006628,0.102985302110835,-0.260600006717389,0.757679989380702,0.0902916918927806,0.209953970985308,0.207739765542377,0.230904413559371,0.727152869801727,0.102985302110835,-0.260600006717389,0.757679989380702,0.0902916918927806,0.209953970985308,0.207739765542377,0.230904413559371,0.727152869801727
119,"Portage",1982,"Fraser River","WC","Fraser Late",49.12,-123.06,210984,11734,0,0.99816573768627,0.00183426231372995,0,0,0,0,0,0,0,0.00604785196981762,0.938815265612558,0.0533026201038941,0,0,0,0.00183426231372995,0,0,0,0,0,0,0,0,0,0,"WC",-0.435495774979539,260.194238284223,25.0075392037743,161.678865128005,-70.0320457242158,-51.5562741017132,417.245080235147,906.188922116585,244.581868587434,260.194238284223,25.0075392037743,161.678865128005,-70.0320457242158,-51.5562741017132,417.245080235147,906.188922116585,244.581868587434,0.463537701700026,-3.9528664354169,-0.303529835200774,-0.50727240602927,17.980569285836,-0.326608199402578,2.88929169071332,2.26310672979164,-0.76012145026106,1.12666395170782,-0.697999807034954,-0.120191853487677,-0.888540521494817,-0.336736456391513,-0.304580617491414,0.412496373203439,-0.762796579024893,-0.659126668010747,-0.179243644859499,0.0143405679842391,0.359757503168353,-0.336736456391513,-0.304580617491414,0.412496373203439,-0.762796579024893,-0.659126668010747,-0.179243644859499,0.0143405679842391,0.359757503168353
119,"Portage",1983,"Fraser River","WC","Fraser Late",49.12,-123.06,37358,4909,0,0.998179774077841,0.00182022592215857,0,0,0,0,0,0,0,0.0115637882113604,0.986615985866481,0,0,0,0,0.00182022592215857,0,0,0,0,0,0,0,0,0,0,"WC",-0.15792082425141,267.099106968831,35.2032564722159,115.68005930621,-66.8779830008276,-48.804482558225,416.242010789437,888.15044108123,197.62770930742,267.099106968831,35.2032564722159,115.68005930621,-66.8779830008276,-48.804482558225,416.242010789437,888.15044108123,197.62770930742,0.500244911587072,6.78183370844263,7.82173042668237,-0.244352726748102,7.61010389081279,-0.551024252492737,2.0294768236612,0.385961126685328,-0.3030972278313,1.22850576174973,0.479859925453416,1.77343436601683,-0.397920061481878,-0.279044133790732,0.113954304437898,-0.266063324162578,-0.716263992211266,-0.617859450444881,-0.185382286897526,-0.0441384811392405,-0.15819986362258,-0.279044133790732,0.113954304437898,-0.266063324162578,-0.716263992211266,-0.617859450444881,-0.185382286897526,-0.0441384811392405,-0.15819986362258
