"Year","sst_raw","sst_anomaly","Stock.ID"
1950,10.4996659415109,-1.36446167294816,102
1951,11.1057878562382,-0.758339758220828,102
1952,11.2297064917428,-0.634421122716244,102
1953,11.7735470363072,-0.0905805781518507,102
1954,11.2220627239772,-0.642064890481827,102
1955,10.8908667564392,-0.973260858019848,102
1956,11.8710631643023,0.00693554984322236,102
1957,12.3478749820164,0.483747367557371,102
1958,13.2306014469692,1.36647383251011,102
1959,11.9623036384583,0.0981760239992037,102
1960,11.8328381947109,-0.031289419748174,102
1961,12.305883373533,0.44175575907392,102
1962,11.8123912811279,-0.0517363333311299,102
1963,12.5906221185412,0.726494504082116,102
1964,11.2862903390612,-0.577837275397858,102
1965,10.9103071689606,-0.953820445498489,102
1966,11.7131859234401,-0.150941691018942,102
1967,11.7375418458666,-0.126585768592432,102
1968,11.540483048984,-0.323644565475074,102
1969,11.3890583515167,-0.47506926294233,102
1970,11.3427294322423,-0.521398182216801,102
1971,10.7318995850427,-1.13222802941638,102
1972,11.3774076529912,-0.486719961467891,102
1973,11.5920849187034,-0.2720426957557,102
1974,11.3970979281834,-0.467029686275642,102
1975,11.243363073894,-0.620764540565095,102
1976,11.1267367090498,-0.737390905409291,102
1977,11.6366580554417,-0.227469559017342,102
1978,12.2922778470176,0.428150232558503,102
1979,11.8755671977997,0.0114395833406236,102
1980,12.0313435622624,0.167215947803343,102
1981,11.8230538708823,-0.0410737435767425,102
1982,11.316054889134,-0.548072725325053,102
1983,12.8505603585924,0.986432744133385,102
1984,11.4281222139086,-0.436005400550452,102
1985,11.7059590135302,-0.158168600928864,102
1986,11.8420831475939,-0.0220444668651435,102
1987,12.0379387991769,0.173811184717842,102
1988,11.8831453323364,0.0190177178773773,102
1989,12.4161183834076,0.551990768948538,102
1990,12.346659387861,0.48253177340193,102
1991,11.7161757264818,-0.147951887977212,102
1992,13.0729782581329,1.20885064367389,102
1993,12.8549053668976,0.990777752438531,102
1994,12.503628219877,0.639500605417918,102
1995,12.9392278535026,1.0751002390435,102
1996,11.9836242539542,0.119496639495157,102
1997,12.9424164295197,1.07828881506061,102
1998,12.9769259861537,1.11279837169469,102
1999,11.250898872103,-0.613228742356044,102
2000,12.3161041736603,0.451976559201226,102
2001,11.5436230387007,-0.320504575758401,102
2002,11.5603755882808,-0.303752026178237,102
2003,12.6575793879373,0.793451773478223,102
2004,13.1624470778874,1.29831946342835,102
2005,12.980352810451,1.11622519599191,102
2006,12.0542481967381,0.190120582279055,102
2007,11.8347712584904,-0.0293563559686301,102
2008,10.6401403290885,-1.22398728537056,102
2009,11.2575444664274,-0.606583148031657,102
2010,11.9148741449629,0.050746530503804,102
2011,11.8753448895046,0.0112172750455225,102
2012,11.7948833874294,-0.0692442270296851,102
2013,12.2269774164472,0.362849801988176,102
2014,12.3743355614798,0.510207947020791,102
2015,13.3534326212747,1.48930500681562,102
2016,13.3851080281394,1.52098041368034,102
1950,10.4996659415109,-1.36446167294816,103
1951,11.1057878562382,-0.758339758220828,103
1952,11.2297064917428,-0.634421122716244,103
1953,11.7735470363072,-0.0905805781518507,103
1954,11.2220627239772,-0.642064890481827,103
1955,10.8908667564392,-0.973260858019848,103
1956,11.8710631643023,0.00693554984322236,103
1957,12.3478749820164,0.483747367557371,103
1958,13.2306014469692,1.36647383251011,103
1959,11.9623036384583,0.0981760239992037,103
1960,11.8328381947109,-0.031289419748174,103
1961,12.305883373533,0.44175575907392,103
1962,11.8123912811279,-0.0517363333311299,103
1963,12.5906221185412,0.726494504082116,103
1964,11.2862903390612,-0.577837275397858,103
1965,10.9103071689606,-0.953820445498489,103
1966,11.7131859234401,-0.150941691018942,103
1967,11.7375418458666,-0.126585768592432,103
1968,11.540483048984,-0.323644565475074,103
1969,11.3890583515167,-0.47506926294233,103
1970,11.3427294322423,-0.521398182216801,103
1971,10.7318995850427,-1.13222802941638,103
1972,11.3774076529912,-0.486719961467891,103
1973,11.5920849187034,-0.2720426957557,103
1974,11.3970979281834,-0.467029686275642,103
1975,11.243363073894,-0.620764540565095,103
1976,11.1267367090498,-0.737390905409291,103
1977,11.6366580554417,-0.227469559017342,103
1978,12.2922778470176,0.428150232558503,103
1979,11.8755671977997,0.0114395833406236,103
1980,12.0313435622624,0.167215947803343,103
1981,11.8230538708823,-0.0410737435767425,103
1982,11.316054889134,-0.548072725325053,103
1983,12.8505603585924,0.986432744133385,103
1984,11.4281222139086,-0.436005400550452,103
1985,11.7059590135302,-0.158168600928864,103
1986,11.8420831475939,-0.0220444668651435,103
1987,12.0379387991769,0.173811184717842,103
1988,11.8831453323364,0.0190177178773773,103
1989,12.4161183834076,0.551990768948538,103
1990,12.346659387861,0.48253177340193,103
1991,11.7161757264818,-0.147951887977212,103
1992,13.0729782581329,1.20885064367389,103
1993,12.8549053668976,0.990777752438531,103
1994,12.503628219877,0.639500605417918,103
1995,12.9392278535026,1.0751002390435,103
1996,11.9836242539542,0.119496639495157,103
1997,12.9424164295197,1.07828881506061,103
1998,12.9769259861537,1.11279837169469,103
1999,11.250898872103,-0.613228742356044,103
2000,12.3161041736603,0.451976559201226,103
2001,11.5436230387007,-0.320504575758401,103
2002,11.5603755882808,-0.303752026178237,103
2003,12.6575793879373,0.793451773478223,103
2004,13.1624470778874,1.29831946342835,103
2005,12.980352810451,1.11622519599191,103
2006,12.0542481967381,0.190120582279055,103
2007,11.8347712584904,-0.0293563559686301,103
2008,10.6401403290885,-1.22398728537056,103
2009,11.2575444664274,-0.606583148031657,103
2010,11.9148741449629,0.050746530503804,103
